timestamp,frame,gaze,hand,trajectory,predicted_action,alert_flag
1744349402.7,3770,unknown,unknown,left,unknown,NO
1744349403.42,3780,unknown,unknown,center,unknown,NO
1744349404.13,3790,unknown,unknown,right,unknown,NO
1744349404.83,3800,unknown,unknown,left,unknown,NO
1744349405.54,3810,unknown,unknown,left,unknown,NO
1744349406.25,3820,unknown,unknown,right,unknown,NO
1744349406.95,3830,unknown,unknown,center,unknown,NO
1744349407.66,3840,unknown,unknown,center,unknown,NO
1744349408.36,3850,unknown,unknown,center,unknown,NO
1744349409.07,3860,unknown,unknown,center,unknown,NO
1744349409.78,3870,unknown,unknown,right,unknown,NO
1744349410.48,3880,unknown,unknown,center,unknown,NO
1744349411.18,3890,unknown,unknown,center,unknown,NO
1744349411.9,3900,unknown,unknown,left,unknown,NO
1744349412.59,3910,unknown,unknown,right,unknown,NO
1744349413.35,3920,unknown,unknown,left,unknown,NO
1744349414.05,3930,unknown,unknown,center,unknown,NO
1744349414.76,3940,unknown,unknown,right,unknown,NO
1744349415.47,3950,unknown,unknown,left,unknown,NO
1744349416.17,3960,unknown,unknown,right,unknown,NO
1744349416.88,3970,unknown,unknown,center,unknown,NO
1744349417.59,3980,unknown,unknown,left,unknown,NO
1744349418.29,3990,unknown,unknown,center,unknown,NO
1744349419.0,4000,unknown,unknown,right,unknown,NO
1744349419.7,4010,unknown,unknown,left,unknown,NO
1744349420.4,4020,unknown,unknown,right,unknown,NO
1744349421.11,4030,unknown,unknown,left,unknown,NO
1744349421.83,4040,unknown,unknown,center,unknown,NO
1744349422.54,4050,unknown,unknown,right,unknown,NO
1744349423.25,4060,unknown,unknown,right,unknown,NO
1744349423.94,4070,unknown,unknown,center,unknown,NO
1744349424.66,4080,unknown,unknown,center,unknown,NO
1744349425.35,4090,unknown,unknown,left,unknown,NO
1744349426.06,4100,unknown,unknown,center,unknown,NO
1744349426.77,4110,unknown,unknown,center,unknown,NO
1744349427.47,4120,unknown,unknown,center,unknown,NO
1744349428.19,4130,unknown,unknown,center,unknown,NO
1744349428.89,4140,unknown,unknown,center,unknown,NO
1744349429.59,4150,unknown,unknown,center,unknown,NO
1744349430.31,4160,unknown,unknown,left,unknown,NO
1744349431.02,4170,unknown,unknown,center,unknown,NO
1744349431.72,4180,unknown,unknown,center,unknown,NO
1744349432.42,4190,unknown,unknown,center,unknown,NO
1744349433.13,4200,unknown,unknown,center,unknown,NO
1744349433.84,4210,unknown,unknown,center,unknown,NO
1744349434.55,4220,unknown,unknown,center,unknown,NO
1744349435.25,4230,unknown,unknown,center,unknown,NO
1744349435.96,4240,unknown,unknown,center,unknown,NO
1744349436.67,4250,unknown,unknown,center,unknown,NO
1744349437.39,4260,unknown,unknown,center,unknown,NO
1744349438.09,4270,unknown,unknown,center,unknown,NO
1744349438.8,4280,unknown,unknown,center,unknown,NO
1744349439.5,4290,unknown,unknown,center,unknown,NO
1744349440.21,4300,unknown,unknown,center,unknown,NO
1744349440.92,4310,unknown,unknown,center,unknown,NO
1744349441.62,4320,unknown,unknown,center,unknown,NO
1744349442.33,4330,unknown,unknown,center,unknown,NO
1744349443.04,4340,unknown,unknown,center,unknown,NO
1744349443.75,4350,unknown,unknown,center,unknown,NO
1744349444.44,4360,unknown,unknown,center,unknown,NO
1744349445.16,4370,unknown,unknown,right,unknown,NO
1744349445.85,4380,unknown,unknown,right,unknown,NO
1744349446.57,4390,unknown,unknown,unknown,unknown,NO
1744349447.27,4400,unknown,unknown,right,unknown,NO
1744349447.98,4410,unknown,unknown,center,unknown,NO
1744349448.69,4420,unknown,unknown,right,unknown,NO
1744349449.39,4430,unknown,unknown,center,unknown,NO
1744349450.1,4440,unknown,unknown,center,unknown,NO
1744349450.81,4450,unknown,unknown,left,unknown,NO
1744349451.52,4460,unknown,unknown,center,unknown,NO
1744349452.23,4470,unknown,unknown,right,unknown,NO
1744349452.92,4480,unknown,unknown,center,unknown,NO
1744349453.63,4490,unknown,unknown,center,unknown,NO
1744349454.34,4500,unknown,unknown,center,unknown,NO
1744349455.05,4510,unknown,unknown,center,unknown,NO
1744349455.77,4520,unknown,unknown,center,unknown,NO
1744349456.47,4530,unknown,unknown,left,unknown,NO
1744349457.17,4540,unknown,unknown,center,unknown,NO
1744349457.88,4550,unknown,unknown,center,unknown,NO
1744349458.58,4560,unknown,unknown,center,unknown,NO
1744349459.29,4570,unknown,unknown,left,unknown,NO
1744349460.01,4580,unknown,unknown,right,unknown,NO
1744349460.7,4590,unknown,unknown,center,unknown,NO
1744349461.41,4600,unknown,unknown,left,unknown,NO
1744349462.12,4610,unknown,unknown,right,unknown,NO
1744349462.82,4620,unknown,unknown,left,unknown,NO
1744349463.54,4630,unknown,unknown,right,unknown,NO
1744349464.23,4640,unknown,unknown,left,unknown,NO
1744349464.95,4650,unknown,unknown,right,unknown,NO
1744349465.67,4660,unknown,unknown,right,unknown,NO
1744349466.37,4670,unknown,unknown,left,unknown,NO
1744349467.08,4680,unknown,unknown,right,unknown,NO
1744349467.78,4690,unknown,unknown,center,unknown,NO
1744349468.49,4700,unknown,unknown,right,unknown,NO
1744349469.2,4710,unknown,unknown,left,unknown,NO
1744349469.9,4720,unknown,unknown,center,unknown,NO
1744349470.61,4730,unknown,unknown,left,unknown,NO
1744349471.31,4740,unknown,unknown,left,unknown,NO
1744349472.03,4750,unknown,unknown,right,unknown,NO
1744349472.74,4760,unknown,unknown,right,unknown,NO
1744349473.44,4770,unknown,unknown,center,unknown,NO
1744349474.13,4780,unknown,unknown,right,unknown,NO
1744349474.86,4790,unknown,unknown,left,unknown,NO
1744349475.55,4800,unknown,unknown,left,unknown,NO
1744349476.27,4810,unknown,unknown,left,unknown,NO
1744349476.97,4820,unknown,unknown,center,unknown,NO
1744349477.68,4830,unknown,unknown,right,unknown,NO
1744349478.38,4840,unknown,unknown,center,unknown,NO
1744349479.09,4850,unknown,unknown,center,unknown,NO
1744349479.8,4860,unknown,unknown,left,unknown,NO
1744349480.5,4870,unknown,unknown,center,unknown,NO
1744349481.22,4880,unknown,unknown,center,unknown,NO
1744349481.92,4890,unknown,unknown,left,unknown,NO
1744349482.63,4900,unknown,unknown,left,unknown,NO
1744349483.33,4910,unknown,unknown,center,unknown,NO
1744349484.04,4920,unknown,unknown,right,unknown,NO
1744349484.75,4930,unknown,unknown,left,unknown,NO
1744349485.44,4940,unknown,unknown,right,unknown,NO
1744349486.15,4950,unknown,unknown,left,unknown,NO
1744349486.86,4960,unknown,unknown,left,unknown,NO
1744349487.57,4970,unknown,unknown,right,unknown,NO
1744349488.28,4980,unknown,unknown,left,unknown,NO
1744349488.98,4990,unknown,unknown,right,unknown,NO
1744349489.7,5000,unknown,unknown,left,unknown,NO
1744349490.4,5010,unknown,unknown,right,unknown,NO
1744349491.1,5020,unknown,unknown,left,unknown,NO
1744349491.82,5030,unknown,unknown,center,unknown,NO
1744349492.52,5040,unknown,unknown,right,unknown,NO
1744349493.22,5050,unknown,unknown,left,unknown,NO
1744349493.94,5060,unknown,unknown,left,unknown,NO
1744349494.64,5070,unknown,unknown,right,unknown,NO
1744349495.36,5080,unknown,unknown,left,unknown,NO
1744349496.05,5090,unknown,unknown,center,unknown,NO
1744349496.77,5100,unknown,unknown,right,unknown,NO
1744349497.47,5110,unknown,unknown,center,unknown,NO
1744349498.18,5120,unknown,unknown,center,unknown,NO
1744349498.88,5130,unknown,unknown,right,unknown,NO
